"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","1.06126647410391","1.48974574985298","2.11378688384805","1.81528953559089","2.39921999226201","2.40166157178167","2.43871611559626","2.53610261573291","2.56958660864491","2.58330721739452","2.38520207961273","2.50082851872422","2.44542631865454","2.58483571300185","2.91384755483601","3.41392827326852","4.07350720402673","4.53243122086218","4.21947651001037","3.91475914075025","3.39974594269854","3.67911367938005","3.79622734824999","3.81612466258928","3.84860858123185","3.44974465593408","3.74856370959275","4.97776520018858","5.22907549809796","5.22813492509511","4.79840348099544","3.739788647417","2.95008676609521","3.12936711838138","2.62984247888921","2.14458861128582","1.83444780427664","1.82870979200282","1.82320759866644","2.27288126477248","2.00352573468228","1.96018011954529","2.02426694021384","1.77084019011839","1.86414912960374","1.67624516078113","1.70430499026462","1.66651423212754","1.92937023917532","1.94771213339322","1.53515344885747","1.50108795113687","1.53381181717503","1.72963251935254","1.75908619694261","1.57774282021771","1.34376562191534","1.44821868065922","1.11872244867272","1.07389823988534","1.10267191366126","1.00549680564244","1.00165962005787","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","1.62960609911055","","","1.86891025641026","1.61082474226804","1.72206572769953","2.04608695652174","2.0114747930775","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43125378739118","1.99206569856085","1.89623399634252","2.56626735198569","2.335545701939","2.08741255278385","1.94583569418812","1.82134545354632","1.17541612009987","1.07694976762403","1.29801287790022","0.994575822723645","0.956772140958855","0.945226799939516","1.00674585570556","1.17096838242129","1.35885692738929","1.827933856217","","",
"Africa Western and Central","AFW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","1.32056403161603","1.31725899864713","1.43712829850865","1.47197600925762","1.37286824038311","","5.55362530229457","6.44687678033518","4.00040841147494","3.15417208826079","3.85723404543007","3.80231745166947","3.37176373870583","5.64163716040476","4.34550293416654","4.31469063807503","3.82497396271383","3.22534633178551","2.64443614353367","2.57545427995778","2.1948102587435","2.08078859034736","1.59190409443698","1.53887394535443","1.50554660877354","1.21768269264721","1.26762704947158","1.12522625440306","1.14039587938895","1.09181571780489","1.07121307945552","1.2121454159859","0.923053424872114","0.638513337833528","0.538445961205345","0.556663693783392","0.641440161553941","0.993503428419442","0.832081537454382","1.02591121563132","1.10202505724262","0.904131646623543","0.838425326246038","0.678974843601643","0.647036023933179","0.702778408499324","0.828197022283634","0.92098726946437","0.832690093165381","0.805922393092089","0.714494642399432","0.767559306335777","0.731257777717814","0.677147167004901","0.82643092365992","0.822058931580113","0.846990749562603","0.800920249308933","0.949805687332754","1.16545522050715","0.975188292569071","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.715E-05","1.73E-05","22.25","21.9805","19.4323333333333","17.4636666666667","7.1025","5.68283054258138","17.5225890755741","5.70928069083604","4.70739276826233","2.44784815671705","5.97226820719497","2.64201188106298","17.334692213616","6.39260315427404","4.52435381521461","2.86993244512575","3.76147907354734","3.47118018672779","3.69224094698531","3.76149530543532","3.11405449295742","3.57312038062707","4.70961004832072","4.1775845224338","3.25566035129376","3.23665949921649","4.45523942155109","4.69845451564414","3.10542629308278","2.73333494465123","2.50798280550579","1.95578680987962","1.73907015919852","1.70017816092424","1.28992265308256","1.32872232786494","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","6.05202163275818","5.84831705344366","5.65159574468085","5.44128198995456","6.11750454270139","5.65142619937141","5.62618650405569","5.86222892264873","5.61731662843362","5.16761272357288","5.8883007196812","5.79127042184833","4.6708878237371","3.19945106674965","2.54781906037648","2.05358735905793","1.37902962734156","1.28308078036268","1.23824256064749","1.24921009885957","1.24636024189216","1.30929137475594","1.32003449433204","1.33684292419802","1.38115794211088","1.35000497056322","1.56776908873068","1.8207653435572","1.98486885667765","1.5172171395597","1.55859189302349","1.52826633776627","1.48708257655216","1.40898210141146","1.34651599128914","1.16230386432234","1.10358100880452","1.10915100558884","1.16054478505068","1.28080596201472","1.29847911563693","1.22084466120546","1.58488092384586","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","4.71986894587436","5.35472585880706","3.88142960852185","4.79248093611692","6.07895259996952","5.90055258924561","5.99555487622188","7.35722810083151","8.11482289406689","8.27110407611159","8.06583633611181","7.54428013385952","8.02124207694439","","","","10.863228081117","10.575469617276","9.66948678612104","8.56400056003985","9.92211670561864","12.0990583156688","11.0711444687468","11.5869736628891","10.4947453311732","","8.74725869686047","8.0608258046226","7.69687011159066","","10.7477468900072","8.61603408220579","7.80472989270478","7.39094306942447","6.6209027738406","6.01450090544167","6.5120661481208","7.3233927339098","6.40156710569765","6.28271343416519","6.26811383023594","5.78958062186032","5.47491189256663","5.07588139587038","4.59916248738748","4.31769089988422","4.42449019655265","4.09189411609049","5.1261379916341","4.90210264271158","4.88601586456122","4.97116019770731","5.73319653783466","6.37289606061749","7.39378649660548","6.04580498742659","6.27930969223681","5.90032679497217","5.40647452851313","5.77113661816805","5.09695756558046","4.96828562580694","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75906148063517","8.62972120984848","7.6695379976034","8.3237222448449","5.61210552340521","4.87553180534483","4.69230626722928","4.6114776396626","3.65647067832081","3.22597447304637","3.28052136989454","3.6680226492701","5.45710777311036","6.03859220826788","5.46631452753061","5.07555649376756","6.03468625064444","5.64365135247024","","","","","","","","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","1.55","2.14","2.66","1.68","1.15","1.07","1.168","1.4","1.68571428571429","1.9375","1.87777777777778","1.80769230769231","1.82380952380952","1.84857142857143","1.65918367346939","2.04195804195804","3.78129117259552","4.00860009555662","4.71914405808177","4.67335625570135","3.09895833333333","3.46534653465347","2.70455793520044","2.73881278538813","2.16203914428767","2.29971724787936","2.31367874921125","2.2843868799904","2.12493922313663","1.88036559239223","1.45090921225786","1.50692655529635","1.42122223348777","1.42280290057293","1.45703853325047","1.47307310721151","1.24122726437626","1.14013911131295","1.13631802186333","1.22035954754993","1.14882267666887","1.18423354187058","1.09188047859748","1.06089505704838","0.883295358833529","0.847154783885961","0.788233877461469","0.792548175031362","0.762756475390461","0.886508576686385","0.814878105497939","0.764287094036749","0.784824721019786","0.837736430159436","0.878100919364039","0.850128583186764","0.813140077928875","0.856137916373543","0.732300347538541","0.699696134379197","0.734492612232545","0.630928835372215","0.411211298762518","",
