Entity,Code,Year,One-sided violence,Non-state,Intrastate,Extrasystemic,Interstate
Africa,,1989,3598,2507,34873,0,0
Africa,,1990,6574,1373,64839,0,0
Africa,,1991,5754,2707,25480,0,0
Africa,,1992,4087,7461,6887,0,0
Africa,,1993,8530,11167,15064,0,0
Africa,,1994,777738,3812,9605,0,0
Africa,,1995,10345,2404,6682,0,0
Africa,,1996,37294,3414,7611,0,56
Africa,,1997,18376,2402,23582,0,0
Africa,,1998,9294,2810,22274,0,1000
Africa,,1999,8273,4428,14014,0,47192
Africa,,2000,2782,5190,9714,0,50000
Africa,,2001,2258,3446,10595,0,0
Africa,,2002,9497,4996,7249,0,0
Africa,,2003,9434,2891,6430,0,0
Africa,,2004,7980,3245,5999,0,0
Africa,,2005,1977,1552,1588,0,0
Africa,,2006,1691,2144,3694,0,0
Africa,,2007,1157,1158,3379,0,0
Africa,,2008,1987,1457,4648,0,35
Africa,,2009,3664,3088,5610,0,0
Africa,,2010,1151,2008,3971,0,0
Africa,,2011,1815,3701,8422,0,0
Africa,,2012,1799,2460,6160,0,367
Africa,,2013,4989,3050,7203,0,0
Africa,,2014,9004,4885,10333,0,0
Africa,,2015,6580,3608,10282,0,0
Africa,,2016,3304,3038,9949,0,25
Africa,,2017,3850,4720,9425,0,0
Africa,,2018,2919,5392,6838,0,0
Africa,,2019,3980,2939,8391,0,0
Africa,,2020,7711,3574,11012,0,0
Africa,,2021,8848,3569,19445,0,0
Africa,,2022,8460,4414,112726,0,0
Americas,,1989,699,0,7872,0,843
Americas,,1990,935,41,2610,0,0
Americas,,1991,709,90,2183,0,0
Americas,,1992,544,0,2726,0,0
Americas,,1993,436,72,912,0,0
Americas,,1994,528,155,1558,0,0
Americas,,1995,220,65,1028,0,99
Americas,,1996,231,0,1309,0,0
Americas,,1997,289,110,653,0,0
Americas,,1998,506,216,964,0,0
Americas,,1999,583,175,1449,0,0
Americas,,2000,1977,526,1870,0,0
Americas,,2001,4769,916,2097,0,0
Americas,,2002,1559,864,3379,0,0
Americas,,2003,657,232,1597,0,0
Americas,,2004,331,590,1441,0,0
Americas,,2005,199,450,1389,0,0
Americas,,2006,59,669,502,0,0
Americas,,2007,0,1938,348,0,0
Americas,,2008,83,2236,284,0,0
Americas,,2009,56,3634,427,0,0
Americas,,2010,83,3587,447,0,0
Americas,,2011,401,2744,202,0,0
Americas,,2012,0,1956,211,0,0
Americas,,2013,0,749,140,0,0
Americas,,2014,76,1561,119,0,0
Americas,,2015,46,1678,134,0,0
Americas,,2016,60,1366,30,0,0
Americas,,2017,121,4248,0,0,0
Americas,,2018,215,11124,131,0,0
Americas,,2019,78,13524,115,0,0
Americas,,2020,253,18828,28,0,0
Americas,,2021,212,21364,113,0,0
Americas,,2022,386,15756,73,0,0
Asia and Oceania,,1989,3338,1214,9689,0,25
Asia and Oceania,,1990,1974,2504,10037,0,28
Asia and Oceania,,1991,1435,704,15409,0,100
Asia and Oceania,,1992,1446,1010,17014,0,25
Asia and Oceania,,1993,579,518,9385,0,0
Asia and Oceania,,1994,389,275,12600,0,42
Asia and Oceania,,1995,532,1265,12719,0,0
Asia and Oceania,,1996,932,606,11999,0,35
Asia and Oceania,,1997,1049,640,11366,0,127
Asia and Oceania,,1998,7044,388,12084,0,147
Asia and Oceania,,1999,2269,1087,8310,0,934
Asia and Oceania,,2000,1980,749,13349,0,222
Asia and Oceania,,2001,1235,764,7760,0,1445
Asia and Oceania,,2002,1975,332,8096,0,212
Asia and Oceania,,2003,1391,280,5705,0,237
Asia and Oceania,,2004,1940,151,6069,0,0
Asia and Oceania,,2005,1340,169,5371,0,0
Asia and Oceania,,2006,1601,226,9842,0,0
Asia and Oceania,,2007,1279,691,12234,0,0
Asia and Oceania,,2008,1526,825,19146,0,0
Asia and Oceania,,2009,1147,645,25764,0,0
Asia and Oceania,,2010,1641,525,14631,0,0
Asia and Oceania,,2011,814,410,11939,0,29
Asia and Oceania,,2012,747,513,12283,0,0
Asia and Oceania,,2013,1079,360,11298,0,31
Asia and Oceania,,2014,821,128,16587,0,49
Asia and Oceania,,2015,556,558,21108,0,63
Asia and Oceania,,2016,850,365,20077,0,100
Asia and Oceania,,2017,2656,415,22457,0,151
Asia and Oceania,,2018,915,631,27180,0,129
Asia and Oceania,,2019,793,141,31559,0,164
Asia and Oceania,,2020,444,50,21800,0,187
Asia and Oceania,,2021,1348,38,38019,0,56
Asia and Oceania,,2022,1456,96,4146,0,152
Europe,,1989,199,139,287,0,0
Europe,,1990,0,198,236,0,0
Europe,,1991,33,359,3400,0,0
Europe,,1992,5251,1613,24592,0,0
Europe,,1993,687,0,16717,0,0
Europe,,1994,282,244,8758,0,0
Europe,,1995,8723,0,11479,0,0
Europe,,1996,42,0,2721,0,0
Europe,,1997,0,26,29,0,0
Europe,,1998,211,38,1298,0,0
Europe,,1999,1124,0,7258,0,0
Europe,,2000,1411,0,2907,0,0
Europe,,2001,188,0,863,0,0
Europe,,2002,204,0,1289,0,0
Europe,,2003,68,0,480,0,0
Europe,,2004,340,0,1178,0,0
Europe,,2005,52,0,707,0,0
Europe,,2006,0,0,259,0,0
Europe,,2007,0,0,176,0,0
Europe,,2008,0,0,1055,0,0
Europe,,2009,0,0,696,0,0
Europe,,2010,58,0,418,0,0
Europe,,2011,40,0,356,0,0
Europe,,2012,0,0,541,0,0
Europe,,2013,40,0,321,0,0
Europe,,2014,0,45,5106,0,0
Europe,,2015,132,0,1945,0,0
Europe,,2016,132,0,466,0,0
Europe,,2017,21,0,506,0,0
Europe,,2018,16,0,280,0,0
Europe,,2019,2,0,338,0,0
Europe,,2020,4,0,7874,0,0
Europe,,2021,0,0,248,0,0
Europe,,2022,1112,0,337,0,81519
Middle East,,1989,158,310,1257,0,0
Middle East,,1990,380,1135,1422,0,1058
Middle East,,1991,1808,0,1977,0,21789
Middle East,,1992,375,375,2134,0,0
Middle East,,1993,552,148,2868,0,0
Middle East,,1994,306,756,5899,0,0
Middle East,,1995,212,704,4098,0,0
Middle East,,1996,351,130,4613,0,0
Middle East,,1997,77,328,4839,0,0
Middle East,,1998,68,31,2149,0,0
Middle East,,1999,76,30,1469,0,0
Middle East,,2000,0,159,323,0,0
Middle East,,2001,92,0,495,0,0
Middle East,,2002,254,85,667,0,0
Middle East,,2003,188,66,401,0,7927
Middle East,,2004,266,154,4733,0,0
Middle East,,2005,1168,0,3083,0,0
Middle East,,2006,832,36,5421,0,0
Middle East,,2007,2124,383,3075,0,0
Middle East,,2008,526,38,3510,0,0
Middle East,,2009,746,28,2106,0,0
Middle East,,2010,738,26,1620,0,0
Middle East,,2011,3636,61,4122,0,0
Middle East,,2012,3865,236,54470,0,0
Middle East,,2013,5422,1441,74489,0,0
Middle East,,2014,5410,10990,83668,0,0
Middle East,,2015,3601,6985,70076,0,0
Middle East,,2016,3563,8950,59461,0,0
Middle East,,2017,2604,13135,39316,0,0
Middle East,,2018,955,7981,20157,0,111
Middle East,,2019,596,3802,11722,0,138
Middle East,,2020,226,1103,12475,0,461
Middle East,,2021,299,362,26059,0,162
Middle East,,2022,432,871,5001,0,55
World,OWID_WRL,1989,7992,4170,53978,0,868
World,OWID_WRL,1990,9863,5251,79144,0,1086
World,OWID_WRL,1991,9739,3860,48449,0,21889
World,OWID_WRL,1992,11703,10459,53353,0,25
World,OWID_WRL,1993,10784,11905,44946,0,0
World,OWID_WRL,1994,779243,5242,38420,0,42
World,OWID_WRL,1995,20032,4438,36006,0,99
World,OWID_WRL,1996,38850,4150,28253,0,91
World,OWID_WRL,1997,19791,3506,40469,0,127
World,OWID_WRL,1998,17123,3483,38769,0,1147
World,OWID_WRL,1999,12325,5720,32500,0,48126
World,OWID_WRL,2000,8150,6624,28163,0,50222
World,OWID_WRL,2001,8542,5126,21810,0,1445
World,OWID_WRL,2002,13489,6277,20680,0,212
World,OWID_WRL,2003,11738,3469,14613,0,8164
World,OWID_WRL,2004,10857,4140,19420,0,0
World,OWID_WRL,2005,4736,2171,12138,0,0
World,OWID_WRL,2006,4183,3075,19718,0,0
World,OWID_WRL,2007,4560,4170,19212,0,0
World,OWID_WRL,2008,4122,4556,28643,0,35
World,OWID_WRL,2009,5613,7395,34603,0,0
World,OWID_WRL,2010,3671,6146,21087,0,0
World,OWID_WRL,2011,6706,6916,25041,0,29
World,OWID_WRL,2012,6411,5165,73665,0,367
